1	140	180	100	0	00:00:35	1	1	1200
2	185	240	135	0	00:04:20	1	1	1700
3	250	320	175	0	00:09:10	1	2	2300
4	330	425	235	0	00:17:30	1	2	3100
5	440	565	315	0	00:40:00	1	2	4000
6	585	750	415	0	01:32:00	1	3	5000
7	775	995	555	0	02:20:00	1	4	6300
8	1030	1325	735	0	03:10:00	1	4	7700
9	1370	1760	980	0	03:50:00	1	5	9600
10	1825	2345	1300	0	04:25:00	1	6	12000
11	2425	3115	1730	0	05:20:00	2	7	14400
12	3225	4145	2305	0	06:20:00	2	9	18000
13	4290	5515	3065	0	07:30:00	2	11	22000
14	5705	7335	4075	0	08:25:00	2	13	26000
15	7585	9755	5420	0	09:45:00	2	15	32000
16	10090	12975	7205	0	10:55:00	2	18	38000
17	13420	17255	9585	0	12:40:00	2	22	45000
18	17850	22950	12750	0	14:55:00	2	27	55000
19	23740	30520	16955	0	17:15:00	2	32	66000
20	31575	40595	22550	0	19:35:00	2	38	80000
