1	80	40	80	50	00:00:20	2	1	5
2	135	65	135	85	00:01:40	1	1	9
3	225	110	225	140	00:05:30	1	2	15
4	375	185	375	235	00:22:00	1	2	22
5	620	310	620	390	00:44:00	1	2	33
6	1040	520	1040	650	01:28:00	2	3	50
7	1735	870	1735	1085	02:10:00	2	4	70
8	2900	1450	2900	1810	04:25:00	2	4	100
9	4840	2420	4840	3025	06:35:00	2	5	145
10	8080	4040	8080	5050	09:55:00	2	6	200
11	13500	6750	13500	8435	13:10:00	2	7	280
12	22540	11270	22540	14090	16:30:00	2	9	375
13	37645	18820	37645	23525	19:50:00	2	11	495
14	62865	31430	62865	39290	24:10:00	2	13	635
15	104985	52490	104985	65615	27:30:00	2	15	800
16	175320	87660	175320	109575	33:00:00	3	18	1000
17	292790	146395	292790	182995	44:00:00	3	22	1300
18	488955	244480	488955	305600	55:00:00	3	27	1600
19	816555	408280	816555	510350	66:00:00	3	32	2000
20	1363650	681825	1363650	852280	88:00:00	3	38	2500
