1	75	90	85	0	00:00:20	0	1	5
2	125	150	140	0	00:01:30	0	1	9
3	210	250	235	0	00:05:00	0	2	15
4	350	420	395	0	00:20:00	0	2	22
5	585	700	660	0	00:40:00	0	2	33
6	975	1170	1105	0	01:20:00	1	3	50
7	1625	1950	1845	0	02:00:00	1	4	70
8	2715	3260	3080	0	04:00:00	1	4	100
9	4535	5445	5140	0	06:00:00	1	5	145
10	7575	9095	8590	0	09:00:00	1	6	200
11	12655	15185	14340	0	12:00:00	1	7	280
12	21130	25360	23950	0	15:00:00	1	9	375
13	35290	42350	39995	0	18:00:00	1	11	495
14	58935	70720	66795	0	22:00:00	1	13	635
15	98420	118105	111545	0	25:00:00	1	15	800
16	164365	197240	186280	0	30:00:00	2	18	1000
17	274490	329385	311085	0	40:00:00	2	22	1300
18	458395	550075	519515	0	50:00:00	2	27	1600
19	765520	918625	867590	0	60:00:00	2	32	2000
20	1278420	1534105	1448880	0	80:00:00	2	38	2500
