1	40	100	50	60	00:00:25	2	1	5
2	65	165	85	100	00:01:50	1	1	9
3	110	280	140	165	00:06:00	1	2	15
4	185	465	235	280	00:24:00	1	2	22
5	310	780	390	465	00:48:00	1	2	33
6	520	1300	650	780	01:36:00	2	3	50
7	870	2170	1085	1300	02:25:00	2	4	70
8	1450	3625	1810	2175	04:50:00	2	4	100
9	2420	6050	3025	3630	07:10:00	2	5	145
10	4040	10105	5050	6060	10:50:00	2	6	200
11	6750	16870	8435	10125	14:25:00	2	7	280
12	11270	28175	14090	16905	18:00:00	2	9	375
13	18820	47055	23525	28230	21:35:00	2	11	495
14	31430	78580	39290	47150	26:25:00	2	13	635
15	52490	131230	65615	78740	30:00:00	2	15	800
16	87660	219155	109575	131490	36:00:00	3	18	1000
17	146395	365985	182995	219590	48:00:00	3	22	1300
18	244480	611195	305600	366715	60:00:00	3	27	1600
19	408280	1020695	510350	612420	72:00:00	3	32	2000
20	681825	1704565	852280	1022740	96:00:00	3	38	2500
